Brand,Year of Manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price
LEXUS,2018,Foreign Used,47581,20,Petrol,Automatic,"?15,750,000.00"
ACURA,2008,Nigerian Used,174107,3700,Petrol,Automatic,"?3,744,000.00"
ACURA,2007,Foreign Used,142822,2300,Petrol,Automatic,"?3,570,000.00"
MERCEDES-BENZ,2011,Foreign Used,203172,3500,Petrol,Automatic,"?4,410,000.00"
LAND ROVER,2008,Foreign Used,418613,4400,Petrol,Automatic,"?5,250,000.00"
TOYOTA,2013,Nigerian Used,103941,2700,Petrol,Automatic,"?12,480,000.00"
LINCOLN,2008,Foreign Used,186615,3500,Petrol,Automatic,"?3,990,000.00"
MERCEDES-BENZ,2010,Foreign Used,149647,3500,Petrol,Automatic,"?8,112,000.00"
MERCEDES-BENZ,2011,Nigerian Used,73624,3500,Petrol,Automatic,"?5,250,000.00"
LAND ROVER,2013,Nigerian Used,70430,2000,Petrol,Automatic,"?9,360,000.00"
TOYOTA,2011,Foreign Used,244495,3500,Petrol,Automatic,"?6,090,000.00"
TOYOTA,2013,Foreign Used,135027,2500,Petrol,Automatic,"?5,616,000.00"
TOYOTA,2006,Foreign Used,389832,3500,Petrol,Automatic,"?3,045,000.00"
MERCEDES-BENZ,2009,Foreign Used,232438,3500,Petrol,Automatic,"?6,300,000.00"
LAND ROVER,2010,Nigerian Used,140366,50000,Petrol,Automatic,"?4,200,000.00"
LAND ROVER,2008,Nigerian Used,178780,4700,Petrol,Automatic,"?3,150,000.00"
LEXUS,2002,Foreign Used,132618,3000,Petrol,Automatic,"?3,328,000.00"
MERCEDES-BENZ,2010,Nigerian Used,220223,3000,Petrol,Automatic,"?4,680,000.00"
TOYOTA,2009,Foreign Used,124609,3500,Petrol,Automatic,"?5,775,000.00"
LAND ROVER,2013,Nigerian Used,76069,4500,Petrol,Automatic,"?4,200,000.00"
LEXUS,2004,Foreign Used,158812,3300,Petrol,Automatic,"?5,408,000.00"
LEXUS,2003,Foreign Used,239713,4700,Petrol,Automatic,"?5,565,000.00"
TOYOTA,2015,Foreign Used,147257,2500,Petrol,Automatic,"?6,615,000.00"
LEXUS,2010,Nigerian Used,114626,3500,Hybrid,Automatic,"?6,760,000.00"
LEXUS,2007,Foreign Used,151892,3500,Petrol,Automatic,"?5,200,000.00"
TOYOTA,2016,Foreign Used,61068,2500,Petrol,Automatic,"?7,245,000.00"
LAND ROVER,2016,Foreign Used,70973,2000,Petrol,Automatic,"?11,550,000.00"
LEXUS,2008,Foreign Used,155216,3500,Petrol,Automatic,"?4,888,000.00"
